respondent_id,respondent_id_source,respondent_id_confidence,source_file,sheet_name,inferred_role,original_persona_sheet_label,reported_brand_persona,brand_persona,classification_confidence,engagement_gate_satisfied,confidence,evidence_coverage,evidence_strength,persona_margin,answer_completeness,classification_consistency,sections_answered,has_jabc_experience,has_current_jabc_engagement,has_lapsed_jabc_engagement,intends_to_continue_jabc,is_aware_of_jabc,runs_external_programs,explores_external_programs,has_positive_external_experience,has_negative_external_experience,is_hesitant_about_external_programs,has_no_external_experience,has_current_barriers,jabc_recency_signal,external_disposition_signal,engagement_evidence,awareness_score,awareness_evidence_strength,awareness_evidence_status,understanding_score,understanding_evidence_strength,understanding_evidence_status,trust_score,trust_evidence_strength,trust_evidence_status,relevance_score,relevance_evidence_strength,relevance_evidence_status,ease_of_engagement_score,ease_of_engagement_evidence_strength,ease_of_engagement_evidence_status,advocacy_score,advocacy_evidence_strength,advocacy_evidence_status,average_score,overall_sentiment_label,overall_sentiment_score,manual_review_flag,manual_review_reason,classification_reasoning
Marci_Goldman,filename,0.7,Interview_Marci_Goldman_July20_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.841,True,0.463,0.278,0.367,0.546,0.524,1.0,ABCDE,True,True,False,True,True,True,True,False,False,False,False,False,0.443,0.231,"has_current_jabc_engagement: [1.4] …This year… Try to do an all-year thing, try to add in JA curriculum and combine with own. It's part o | has_current_jabc_engagement: [2.1.1] …last year… I really just like Junior Achievement, if I saw something that was valuable for my student | has_jabc_experience: [5] This year was awesome, was so engaging and was so great all students participated. Was done in a way that was easy for the class to understand. The vo | has_jabc_experience: [5.1] Speaking on the slides, I found it really confusing so I didn't know how to log in, when Mike came in I saved password. I found the actual website, un | has_lapsed_jabc_engagement: [5] …years ago… This year was awesome, was so engaging and was so great all students participated. Was don | intends_to_continue_jabc: [3.3] …Highly recommend… Highly recommend it, would talk about the curriculum as it follows it perfectly. Would tal | intends_to_continue_jabc: [3.3] …recommend it… Highly recommend it, would talk about the curriculum as it follows it perfectly. Would tal",3.22,0.0,weak,3.947,0.55,mixed,4.381,0.0,insufficient,3.6,0.55,mixed,4.02,0.55,supported,5.0,0.55,weak,4.028,positive,0.633,False,,"Selected Brand Champion via engagement gate (margin=0.55). Persona scores: Brand Champion=11.49 [gate] [+2 support], Non-Active Supporter=4.66 [+1 support], Brand Prospect=4.61 [+2 support], Brand Newbie=1.60. Engagement state: sections=ABCDE; flags=explores_external_programs, has_current_jabc_engagement, has_jabc_experience, intends_to_continue_jabc, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.44; external_disposition=+0.23"
Nicholas_Fitzgerald,filename,0.7,Interview_Nicholas_Fitzgerald_July23_Teacher_Familiar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Newbie,0.739,True,0.403,0.222,0.275,0.446,0.522,1.0,ABCEI,False,False,False,False,False,False,False,False,False,False,True,False,0.462,0.0,"has_current_jabc_engagement: [2.1.1] …came back… It was good, in Ireland there was a program run by the arts council, can't remember the na | has_jabc_experience: [5] I think we did the Economics for Success workshop. I'd say the Pros were that the administration behind was fantastic, really well organized, the peop | has_jabc_experience: [5] I think we did the Economics for Success workshop. I'd say the Pros were that the administration behind was fantastic, really well organized, the peop | is_aware_of_jabc: [3] (denied) 5 extremely familiar with JABC. 1 not at all familiar with JA as a whole. | is_aware_of_jabc: [3] (negated) …not at all familiar…",1.8,0.55,mixed,3.0,0.0,insufficient,3.429,0.55,weak,3.0,0.0,insufficient,2.962,0.55,mixed,3.046,0.0,weak,2.873,positive,0.488,False,,"Selected Brand Newbie via engagement gate (margin=0.45). Persona scores: Brand Newbie=10.07 [gate] [+1 support], Non-Active Supporter=4.50, Brand Prospect=4.48, Brand Champion=2.94. Engagement state: sections=ABCEI; flags=has_no_external_experience; jabc_recency=+0.46; external_disposition=+0.00"
Rachel_Tremblay-Cote,filename,0.7,Interview_Rachel Tremblay-Cote_July17_Teacher_Active.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.653,True,0.341,0.167,0.183,0.394,0.444,1.0,ACEI,True,True,False,False,True,False,False,False,False,False,True,False,0.462,0.0,"has_current_jabc_engagement: [1.4] …2025… reach out to JABC for entrepreneurship class, no experience in finance, market research; r | has_jabc_experience: [5] 3 program experience
company program - didn't go well; first time experiencing lots of difficulty wt JABC; program is very dense and long, lots of rea | has_jabc_experience: [5] 3 program experience
company program - didn't go well; first time experiencing lots of difficulty wt JABC; program is very dense and long, lots of rea",3.22,0.0,weak,3.944,0.55,mixed,4.0,0.0,insufficient,3.0,0.0,insufficient,3.242,0.55,mixed,3.0,0.0,unknown,3.401,positive,0.381,False,,"Selected Brand Champion via engagement gate (margin=0.39). Persona scores: Brand Champion=9.82 [gate], Non-Active Supporter=4.90, Brand Prospect=4.69 [+1 support], Brand Newbie=2.83 [+1 support]. Engagement state: sections=ACEI; flags=has_current_jabc_engagement, has_jabc_experience, has_no_external_experience, is_aware_of_jabc; jabc_recency=+0.46; external_disposition=+0.00"
Rory_Payment,filename,0.7,Interview_Rory_Payment_July14_Teacher_Unfamiliar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Newbie,0.819,True,0.352,0.056,0.242,0.484,0.524,1.0,ABCDIJ,False,False,False,False,False,True,False,False,True,True,False,False,0.0,-0.506,"has_jabc_experience: (suppressed) respondent denied any prior familiarity with JABC | has_negative_external_experience: [2.1.1] …only worked out once… There are external classroom programming for digital literacy that seems similar to what w | has_negative_external_experience: [4] …waste of time… As a teacher in grade 8, if someone is a horrible speaker, it can be a waste of time, but  | is_aware_of_jabc: [3] (denied) 1 never heard of it before, either JA or JABC | is_aware_of_jabc: [3] (negated) …never heard… | is_hesitant_about_external_programs: [2.1.1] …take a chance… There are external classroom programming for digital literacy that seems similar to what w | is_hesitant_about_external_programs: [4] …fear… As a teacher in grade 8, if someone is a horrible speaker, it can be a waste of time, but ",1.371,0.9,weak,3.0,0.0,insufficient,3.0,0.0,insufficient,2.4,0.55,mixed,3.0,0.0,insufficient,3.278,0.0,weak,2.675,mixed,0.287,False,,"Selected Brand Newbie via engagement gate (margin=0.48). Persona scores: Brand Newbie=10.75 [gate] [+2 support], Brand Prospect=4.71 [+1 support], Non-Active Supporter=4.32, Brand Champion=2.78. Engagement state: sections=ABCDIJ; flags=has_negative_external_experience, is_hesitant_about_external_programs, runs_external_programs; jabc_recency=+0.00; external_disposition=-0.51"
Sarah_Williams,filename,0.7,Interview_Sarah_Williams_July21_Teacher_Active.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.662,True,0.428,0.278,0.367,0.42,0.462,1.0,ABCDEI,True,True,False,False,True,False,False,False,False,False,True,False,0.462,0.0,"has_current_jabc_engagement: [5] …each year… dollar sense - for indigenous learners
students are indigenous
each time program going wel | has_jabc_experience: [5] dollar sense - for indigenous learners
students are indigenous
each time program going well, with a particular volunteer she's connected to and bring  | has_jabc_experience: [5.1] not super easy to find program - the program she's delivering she couldn't find the indigenous learner ; the one she's doing is a bit of combo of two
",3.22,0.55,mixed,3.915,0.55,mixed,3.993,0.55,weak,3.0,0.0,insufficient,3.875,0.55,supported,3.177,0.0,weak,3.53,mixed,0.217,False,,"Selected Brand Champion via engagement gate (margin=0.42). Persona scores: Brand Champion=9.88 [gate], Non-Active Supporter=4.64, Brand Prospect=4.63 [+1 support], Brand Newbie=2.58 [+1 support]. Engagement state: sections=ABCDEI; flags=has_current_jabc_engagement, has_jabc_experience, has_no_external_experience, is_aware_of_jabc; jabc_recency=+0.46; external_disposition=+0.00"
Shannon_Soper,filename,0.7,Interview_Shannon_Soper_July21_Teacher_Active.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.652,True,0.375,0.167,0.367,0.391,0.37,1.0,ABCDEIJ,True,True,False,False,True,True,True,False,False,False,False,False,0.0,0.318,"has_current_jabc_engagement: [5] …this year… Used the Dollars with Sense program this year. The content was highly relevant. Students r | has_jabc_experience: [5] Used the Dollars with Sense program this year. The content was highly relevant. Students received situation and character cards, and they enjoyed the  | has_lapsed_jabc_engagement: [5.3] …used to… Communication was adequate and has improved over time. Reminders used to arrive only a wee",3.22,0.55,weak,3.867,0.55,mixed,4.112,0.0,insufficient,3.6,0.55,mixed,4.069,0.55,mixed,3.0,0.0,unknown,3.645,mixed,0.249,False,,"Selected Brand Champion via engagement gate (margin=0.39). Persona scores: Brand Champion=10.04 [gate], Brand Prospect=5.15 [+2 support], Non-Active Supporter=4.55, Brand Newbie=1.72. Engagement state: sections=ABCDEIJ; flags=explores_external_programs, has_current_jabc_engagement, has_jabc_experience, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.32"
Soraya_Rajan,filename,0.7,Interview_Soraya_Rajan_July17_Teacher_Unfamiliar.xlsx,Teacher Template,Teacher,Teacher Template,Potential Adopters,Brand Prospect,0.822,True,0.382,0.111,0.275,0.491,0.545,1.0,ABCDIJ,0,False,False,False,True,True,True,False,False,False,False,False,0.0,0.028,,4.2,0.55,weak,3.871,0.55,mixed,3.0,0.0,insufficient,3.085,0.55,mixed,3.0,0.0,unknown,3.0,0.0,unknown,3.359,mixed,0.108,False,,"Selected Brand Prospect via engagement gate (margin=0.49). Persona scores: Brand Prospect=11.14 [gate] [+2 support], Non-Active Supporter=5.00, Brand Champion=4.15, Brand Newbie=2.52. Engagement state: sections=ABCDIJ; flags=explores_external_programs, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.03"
Viveka_Johnson__P1_-_Teacher-Active,sheet_grouping,0.45,Interview_Viveka_Johnson_July13_Superintendent_Active.xlsx,P1 - Teacher-Active,Teacher,P1 - Teacher-Active,Established Supporters,Non-Active Supporter,0.762,True,0.372,0.111,0.0,0.513,0.909,1.0,FGH,True,False,True,False,True,False,False,False,False,False,True,True,-0.5,0.0,,3.0,0.0,unknown,3.0,0.0,unknown,3.0,0.0,unknown,2.9,0.0,weak,2.796,0.0,weak,3.0,0.0,unknown,2.949,neutral,0.048,True,Multiple completed response sheets in the same workbook; respondent identity resolved at the sheet level.; Low respondent identity confidence.,"Selected Non-Active Supporter via engagement gate (margin=0.51). Persona scores: Non-Active Supporter=11.50 [gate] [+1 support], Brand Prospect=5.08 [+1 support], Brand Newbie=3.83 [+1 support], Brand Champion=3.29. Engagement state: sections=FGH; flags=has_jabc_experience, has_lapsed_jabc_engagement, has_no_external_experience, is_aware_of_jabc; jabc_recency=-0.50; external_disposition=+0.00"
Viveka_Johnson__P7_-_Superintendent-FamUnfam-No,sheet_grouping,0.45,Interview_Viveka_Johnson_July13_Superintendent_Active.xlsx,P7 - Superintendent-FamUnfam-No,Superintendent,P7 - Superintendent-FamUnfam-No,Potential Adopters,Brand Prospect,0.803,True,0.462,0.278,0.467,0.437,0.5,1.0,ABCHI,0,False,False,False,True,True,True,False,False,False,False,True,0.0,0.202,,3.24,0.55,mixed,3.969,0.55,mixed,3.0,0.0,insufficient,3.99,0.55,mixed,2.329,0.55,mixed,4.477,0.6,mixed,3.501,positive,0.605,True,Multiple completed response sheets in the same workbook; respondent identity resolved at the sheet level.; Low respondent identity confidence.,"Selected Brand Prospect via engagement gate (margin=0.44). Persona scores: Brand Prospect=10.76 [gate] [+2 support], Non-Active Supporter=5.30 [+1 support], Brand Champion=4.67, Brand Newbie=2.42. Engagement state: sections=ABCHI; flags=explores_external_programs, is_aware_of_jabc, runs_external_programs; jabc_recency=+0.00; external_disposition=+0.20"
Zain_Rehmtulla,filename,0.7,Interview_Zain_Rehmtulla_July16_Teacher_Active.xlsx,Teacher Template,Teacher,Teacher Template,Established Supporters,Brand Champion,0.664,True,0.419,0.333,0.275,0.425,0.435,1.0,ABCEI,True,True,False,False,True,False,False,False,False,False,True,False,0.0,0.0,"has_jabc_experience: [5.1] educator portal get into a loop; JABC connect took a bit of time to find, no clear login page | has_jabc_experience: [5.4] part 1, part2 options for a class would be cool
at the beginning feel like it's a lot, stuff is not super intuitive (content, some live some asynchron | is_aware_of_jabc: [5.2] (negated) …don't know what they…",3.22,0.55,mixed,3.937,0.55,mixed,4.181,0.0,insufficient,3.0,0.0,unknown,3.945,0.55,supported,3.236,0.0,weak,3.586,positive,0.451,False,,"Selected Brand Champion via engagement gate (margin=0.42). Persona scores: Brand Champion=9.91 [gate], Non-Active Supporter=4.61, Brand Prospect=4.52 [+1 support], Brand Newbie=2.47 [+1 support]. Engagement state: sections=ABCEI; flags=has_current_jabc_engagement, has_jabc_experience, has_no_external_experience, is_aware_of_jabc; jabc_recency=+0.00; external_disposition=+0.00"
